,rank,song_title,artist,lytics_link
87,8,A Million Dreams,Ziv Zaifman,http://web.archive.org/web/20180109192510/https://genius.com/Ziv-zaifman-a-million-dreams-lyrics
88,9,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180109192510/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
89,10,​​rockstar,Post Malone,http://web.archive.org/web/20180109192510/https://genius.com/Post-malone-rockstar-lyrics
90,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180111004510/https://genius.com/Big-shaq-mans-not-hot-lyrics
91,2,Chloraseptic (Remix),Eminem,http://web.archive.org/web/20180111004510/https://genius.com/Eminem-chloraseptic-remix-lyrics
92,3,River,Eminem,http://web.archive.org/web/20180111004510/https://genius.com/Eminem-river-lyrics
93,4,This Is Me,Keala Settle,http://web.archive.org/web/20180111004510/https://genius.com/Keala-settle-this-is-me-lyrics
94,5,Rewrite the Stars,Zac Efron,http://web.archive.org/web/20180111004510/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
95,6,Bartier Cardi,Cardi B,http://web.archive.org/web/20180111004510/https://genius.com/Cardi-b-bartier-cardi-lyrics
96,7,​​rockstar,Post Malone,http://web.archive.org/web/20180111004510/https://genius.com/Post-malone-rockstar-lyrics
97,8,Finesse (Remix),Bruno Mars,http://web.archive.org/web/20180111004510/https://genius.com/Bruno-mars-finesse-remix-lyrics
98,9,A Million Dreams,Ziv Zaifman,http://web.archive.org/web/20180111004510/https://genius.com/Ziv-zaifman-a-million-dreams-lyrics
99,10,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180111004510/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
100,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180111170335/https://genius.com/Big-shaq-mans-not-hot-lyrics
101,2,Chloraseptic (Remix),Eminem,http://web.archive.org/web/20180111170335/https://genius.com/Eminem-chloraseptic-remix-lyrics
102,3,This Is Me,Keala Settle,http://web.archive.org/web/20180111170335/https://genius.com/Keala-settle-this-is-me-lyrics
103,4,River,Eminem,http://web.archive.org/web/20180111170335/https://genius.com/Eminem-river-lyrics
104,5,Rewrite the Stars,Zac Efron,http://web.archive.org/web/20180111170335/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
105,6,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180111170335/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
106,7,A Million Dreams,Ziv Zaifman,http://web.archive.org/web/20180111170335/https://genius.com/Ziv-zaifman-a-million-dreams-lyrics
